Date/Time,CHARGE SCH:Schedule Value [](TimeStep),CHILLER TEMP SCH:Schedule Value [](TimeStep),ICE TANK TEMP SCH:Schedule Value [](TimeStep),NUM TANKS:Schedule Value [](TimeStep),CHRG TEMP:Schedule Value [](TimeStep),TRIM TEMP:Schedule Value [](TimeStep),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Electricity Rate [W](TimeStep),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Electricity Rate [W](TimeStep),mdot_branch:PythonPlugin:OutputVariable [](TimeStep),mdot_tank:PythonPlugin:OutputVariable [](TimeStep),soc:PythonPlugin:OutputVariable [](TimeStep),t_branch_in:PythonPlugin:OutputVariable [](TimeStep),t_branch_out:PythonPlugin:OutputVariable [](TimeStep),t_tank_out:PythonPlugin:OutputVariable [](TimeStep),Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep)
 09/19  04:00:00,1.0,-3.8,6.7,1.0,-3.8,10.0,0.0,95911.04111941482,63.894650908673285,10.862155869966525,0.965828695005187,-3.8,-3.7157400607352162,-3.304356274264552,389196297.2616438,5025948.539621178
 09/19  04:10:00,1.0,-3.8,6.7,1.0,-3.8,10.0,0.0,94843.50626637251,63.89465090867328,10.8621508441549,0.9716155410527115,-3.8,-3.723787760519972,-3.3516951931150034,391479641.6334311,5025948.539621178
 09/19  04:20:00,1.0,-3.8,6.7,1.0,-3.8,10.0,0.0,34360.931804533066,63.89465090867328,10.86214669909008,0.9768414651302388,-3.8,-3.731315498252313,-3.395975603756832,337710572.6740404,5025948.539621178
 09/19  04:30:00,1.0,-3.8,6.7,1.0,-3.8,10.0,0.0,9111.79848540741,63.89465090867328,10.862145373609312,0.9815427084534495,-3.8,-3.738306112893035,-3.4370966098947737,318900295.79981226,5025948.539621178
 09/19  04:40:00,1.0,-3.8,6.7,1.0,-3.8,10.0,0.0,7482.764987714021,63.89465090867328,10.862145081782103,0.9857567082595187,-3.8,-3.74475406595333,-3.475025545740872,317982763.1482591,5025948.539621178
 09/19  04:50:00,1.0,-3.8,6.7,1.0,-3.8,10.0,0.0,6959.902014180869,63.89465090867328,10.862144943830199,0.9895212878593377,-3.8,-3.7506640840166283,-3.5097901799950026,317758240.0170214,5025948.539621178
 09/19  05:00:00,1.0,-3.8,6.7,1.0,-3.8,10.0,0.0,6486.751423954031,63.89465090867328,10.862144918158517,0.9928739411437435,-3.8,-3.756049560245007,-3.54146929298159,317537591.3330511,5025948.539621178
 09/19  05:10:00,1.0,-3.8,6.7,1.0,-3.8,10.0,0.0,97326.64388535802,63.89465090867328,37.267792131128466,0.9959280619972368,-3.8000000000000003,-3.760196663735854,-3.731758225261917,446299561.6705937,17564739.797132168
 09/19  05:20:00,1.0,-3.8,6.7,1.0,-3.8,10.0,0.0,106006.76029771924,63.89465090867327,37.26430091257735,0.9986162952595689,-3.8,-3.764877874332768,-3.7397783963814852,464677788.1232129,30594154.56967788
 09/19  05:30:00,1.0,-3.8,6.7,1.0,-3.8,10.0,0.0,107675.62456839663,63.89465090867328,37.24718529439607,1.0,-3.8,-3.768694459828934,-3.7462977794180157,461818913.850581,38987565.85807665
