Date/Time,Baseline 90.1-2013 WATERCOOLED  CENTRIFUGAL CHILLER 0 336TONS 0.6KW/TON:Chiller Electricity Rate [W](Hourly),Baseline 90.1-2013 WATERCOOLED  CENTRIFUGAL CHILLER 0 336TONS 0.6KW/TON:Chiller Electricity Energy [J](Hourly),Baseline 90.1-2013 WATERCOOLED  CENTRIFUGAL CHILLER 0 336TONS 0.6KW/TON:Chiller Evaporator Cooling Energy [J](Hourly),Baseline 90.1-2013 WATERCOOLED  CENTRIFUGAL CHILLER 0 336TONS 0.6KW/TON:Chiller Evaporator Inlet Temperature [C](Hourly),Baseline 90.1-2013 WATERCOOLED  CENTRIFUGAL CHILLER 0 336TONS 0.6KW/TON:Chiller Evaporator Outlet Temperature [C](Hourly),Baseline 90.1-2013 WATERCOOLED  CENTRIFUGAL CHILLER 0 336TONS 0.6KW/TON:Chiller Evaporator Mass Flow Rate [kg/s](Hourly),Baseline 90.1-2013 WATERCOOLED  CENTRIFUGAL CHILLER 1 336TONS 0.6KW/TON:Chiller Electricity Rate [W](Hourly),Baseline 90.1-2013 WATERCOOLED  CENTRIFUGAL CHILLER 1 336TONS 0.6KW/TON:Chiller Electricity Energy [J](Hourly),Baseline 90.1-2013 WATERCOOLED  CENTRIFUGAL CHILLER 1 336TONS 0.6KW/TON:Chiller Evaporator Cooling Energy [J](Hourly),Baseline 90.1-2013 WATERCOOLED  CENTRIFUGAL CHILLER 1 336TONS 0.6KW/TON:Chiller Evaporator Inlet Temperature [C](Hourly),Baseline 90.1-2013 WATERCOOLED  CENTRIFUGAL CHILLER 1 336TONS 0.6KW/TON:Chiller Evaporator Outlet Temperature [C](Hourly),Baseline 90.1-2013 WATERCOOLED  CENTRIFUGAL CHILLER 1 336TONS 0.6KW/TON:Chiller Evaporator Mass Flow Rate [kg/s](Hourly),CHARGE SCH:Schedule Value [](Hourly),90.1-2013 WATERCOOLED  CENTRIFUGAL CHILLER 0 336TONS 0.6KW/TON:Chiller Electricity Rate [W](Hourly),90.1-2013 WATERCOOLED  CENTRIFUGAL CHILLER 0 336TONS 0.6KW/TON:Chiller Electricity Energy [J](Hourly),90.1-2013 WATERCOOLED  CENTRIFUGAL CHILLER 0 336TONS 0.6KW/TON:Chiller Evaporator Cooling Energy [J](Hourly),90.1-2013 WATERCOOLED  CENTRIFUGAL CHILLER 0 336TONS 0.6KW/TON:Chiller Evaporator Inlet Temperature [C](Hourly),90.1-2013 WATERCOOLED  CENTRIFUGAL CHILLER 0 336TONS 0.6KW/TON:Chiller Evaporator Outlet Temperature [C](Hourly),90.1-2013 WATERCOOLED  CENTRIFUGAL CHILLER 0 336TONS 0.6KW/TON:Chiller Evaporator Mass Flow Rate [kg/s](Hourly),90.1-2013 WATERCOOLED  CENTRIFUGAL CHILLER 1 336TONS 0.6KW/TON:Chiller Electricity Rate [W](Hourly),90.1-2013 WATERCOOLED  CENTRIFUGAL CHILLER 1 336TONS 0.6KW/TON:Chiller Electricity Energy [J](Hourly),90.1-2013 WATERCOOLED  CENTRIFUGAL CHILLER 1 336TONS 0.6KW/TON:Chiller Evaporator Cooling Energy [J](Hourly),90.1-2013 WATERCOOLED  CENTRIFUGAL CHILLER 1 336TONS 0.6KW/TON:Chiller Evaporator Inlet Temperature [C](Hourly),90.1-2013 WATERCOOLED  CENTRIFUGAL CHILLER 1 336TONS 0.6KW/TON:Chiller Evaporator Outlet Temperature [C](Hourly),90.1-2013 WATERCOOLED  CENTRIFUGAL CHILLER 1 336TONS 0.6KW/TON:Chiller Evaporator Mass Flow Rate [kg/s](Hourly),mdot_branch:PythonPlugin:OutputVariable [](Hourly),mdot_tank:PythonPlugin:OutputVariable [](Hourly),soc:PythonPlugin:OutputVariable [](Hourly),t_branch_in:PythonPlugin:OutputVariable [](Hourly),t_branch_out:PythonPlugin:OutputVariable [](Hourly),t_tank_out:PythonPlugin:OutputVariable [](Hourly)
 2006-04-01T00:00:00,1906.377983674093,6862960.741226734,21817923.49891552,8.51032849173743,8.485598832901301,35.69563581580571,0.0,0.0,0.0,8.51032849173743,8.51032849173743,0.0,1.0,101417.4941670692,365102979.0014493,2451359080.84891,-0.4301984967076693,-3.357212451785312,64.78235796492241,101417.4941670692,365102979.0014493,2451359080.84891,-0.4301984967076693,-3.357212451785312,64.78235796492241,129.56471592984482,0.0,0.5141767887723953,-1.6657721631655444,-0.6775798077523913,-0.6775798077523913
 2006-04-01T01:00:00,0.0,0.0,0.0,11.38697254562416,11.38697254562416,0.0,0.0,0.0,0.0,11.38697254562416,11.38697254562416,0.0,1.0,75182.29852464552,270656274.6887239,1527026887.541876,-1.972613142573073,-3.799999999999999,64.78235796492238,75182.29852464552,270656274.6887239,1527026887.541876,-1.972613142573073,-3.799999999999999,64.78235796492238,129.56471592984477,0.0,0.6243081766950987,-3.799999999999999,-1.9912467886376708,-1.9912467886376708
 2006-04-01T02:00:00,0.0,0.0,0.0,11.386972545624165,11.386972545624165,0.0,0.0,0.0,0.0,11.386972545624165,11.386972545624165,0.0,1.0,72371.91519184904,260538894.6906565,1407282805.9474783,-2.115710475092312,-3.8,64.78235796492238,72371.91519184904,260538894.6906565,1407282805.9474783,-2.115710475092312,-3.8,64.78235796492238,129.56471592984477,0.0,0.730134306929123,-3.8,-2.1366375659959576,-2.1366375659959576
 2006-04-01T03:00:00,0.0,0.0,0.0,11.38697254562416,11.38697254562416,0.0,0.0,0.0,0.0,11.38697254562416,11.38697254562416,0.0,1.0,70598.21495293737,254153573.83057457,1197461176.3275063,-2.3665363449247843,-3.799999999999999,64.78235796492238,70598.21495293737,254153573.83057457,1197461176.3275063,-2.3665363449247843,-3.799999999999999,64.78235796492238,129.56471592984477,0.0,0.8245455032000705,-3.799999999999999,-2.3905437528293865,-2.3905437528293865
 2006-04-01T04:00:00,0.0,0.0,0.0,11.386972545624165,11.386972545624165,0.0,0.0,0.0,0.0,11.386972545624165,11.386972545624165,0.0,1.0,70108.07866022972,252389083.17682692,901160785.0897368,-2.72091830119194,-3.8,64.78235796492241,70108.07866022972,252389083.17682692,901160785.0897368,-2.72091830119194,-3.8,64.78235796492241,129.56471592984482,0.0,0.9007766093145054,-3.8,-2.7470541501739696,-2.7470541501739696
 2006-04-01T05:00:00,5223.053524380223,18802992.6877688,59742874.63542177,6.70052480371977,6.632808529613609,58.411040425863895,0.0,0.0,0.0,6.70052480371977,6.70052480371977,0.0,1.0,53742.06174063993,193471422.2663037,607840880.8728802,-3.0719354012131888,-3.8,64.78235796492241,53742.06174063993,193471422.2663037,607840880.8728802,-3.0719354012131888,-3.8,64.78235796492241,129.56471592984482,0.0,0.9542892486890951,-3.8,-3.127091494924242,-3.127091494924242
 2006-04-01T06:00:00,7930.863834111479,28551109.80280132,90760567.13665403,6.7181037390366685,6.615229594296713,58.411040425863895,0.0,0.0,0.0,6.7181037390366685,6.7181037390366685,0.0,1.0,32665.12002230625,117594432.0803025,369483915.3582802,-3.35733090349232,-3.8,64.78235796492241,32665.12002230625,117594432.0803025,369483915.3582802,-3.35733090349232,-3.8,64.78235796492241,129.56471592984482,0.0,0.9863512522072574,-3.8,-3.429337917007319,-3.429337917007319
 2006-04-01T07:00:00,2513.937058802076,9050173.411687477,28796596.253523804,6.6829864872122,6.650346846121181,58.411040425863895,0.0,0.0,0.0,6.6829864872122,6.6829864872122,0.0,1.0,6367.393334474035,22922616.004106525,72436206.75429685,-3.6682819852944704,-3.7550798716504015,21.5941193216408,6367.393334474035,22922616.004106525,72436206.75429685,-3.6682819852944704,-3.7550798716504015,21.5941193216408,129.56471592984482,0.0,0.9996568268424428,-3.769618973880494,-3.692637390198101,-3.692637390198101
 2006-04-01T08:00:00,3179.006306393256,11444422.70301572,36368352.31298662,7.631707571112853,7.5904854667982,48.675867021553245,0.0,0.0,0.0,7.631707571112853,7.631707571112853,0.0,1.0,0.0,0.0,0.0,-3.6507865094562586,-3.6507865094562586,0.0,0.0,0.0,0.0,-3.6507865094562586,-3.6507865094562586,0.0,129.56471592984482,0.0,0.9996874215220398,-3.674947860128772,-3.674947860128772,-3.674947860128772
 2006-04-01T09:00:00,11301.011488557866,40683641.35880832,129363583.69259772,6.73998193807858,6.5933513952548,58.411040425863895,0.0,0.0,0.0,6.73998193807858,6.73998193807858,0.0,1.0,0.0,0.0,0.0,-3.319985692239763,-3.319985692239763,0.0,0.0,0.0,0.0,-3.319985692239763,-3.319985692239763,0.0,129.56471592984482,0.0,0.999171158423404,-3.395722986412365,-3.395722986412365,-3.395722986412365
 2006-04-01T10:00:00,13888.135527132736,49997287.89767785,159277317.05165416,6.756935659663476,6.576397673669903,58.411040425863895,0.0,0.0,0.0,6.756935659663476,6.756935659663476,0.0,1.0,0.0,0.0,0.0,-2.8084580748620365,-2.8084580748620365,0.0,0.0,0.0,0.0,-2.8084580748620365,-2.8084580748620365,0.0,129.56471592984482,0.0,0.998654895324768,-2.89502786030237,-2.89502786030237,-2.89502786030237
 2006-04-01T11:00:00,27992.53269821251,100773117.71356502,320482247.47163194,6.848303352991434,6.485029980341944,58.411040425863895,0.0,0.0,0.0,6.848303352991434,6.848303352991434,0.0,1.0,0.0,0.0,0.0,-2.0586241450349347,-2.0586241450349347,0.0,0.0,0.0,0.0,-2.0586241450349347,-2.0586241450349347,0.0,129.56471592984482,0.0,0.9981386322261322,-2.2319120343983454,-2.2319120343983454,-2.2319120343983454
 2006-04-01T12:00:00,42914.836470348855,154493411.29325587,491067944.41914886,6.944992536613971,6.388340796719409,58.411040425863895,0.0,0.0,0.0,6.944992536613971,6.944992536613971,0.0,-1.0,0.0,0.0,0.0,-0.679927051773246,-0.679927051773246,0.0,0.0,0.0,0.0,-0.679927051773246,-0.679927051773246,0.0,129.56471592984482,0.0,0.997622369127496,-0.9348044431362872,-0.9348044431362872,-0.9348044431362872
 2006-04-01T13:00:00,52728.80059718224,189823682.1498561,601041127.6849053,7.007329979845413,6.326003353487966,58.411040425863895,0.0,0.0,0.0,7.007329979845413,7.007329979845413,0.0,-1.0,0.0,0.0,0.0,1.0345885000784725,1.0345885000784725,0.0,0.0,0.0,0.0,1.0345885000784725,1.0345885000784725,0.0,129.56471592984482,0.0,0.99710610602886,0.7216039712769154,0.7216039712769154,0.7216039712769154
 2006-04-01T14:00:00,60968.16682530079,219485400.5710829,719160391.6838284,7.074289090618891,6.259044242714488,58.411040425863895,0.0,0.0,0.0,7.074289090618891,7.074289090618891,0.0,-1.0,0.0,0.0,0.0,3.0560471166503285,3.0560471166503285,0.0,0.0,0.0,0.0,3.0560471166503285,3.0560471166503285,0.0,129.56471592984482,0.0,0.996589842930224,2.712193353440416,2.712193353440416,2.712193353440416
 2006-04-01T15:00:00,59224.86325878583,213209507.731629,674906592.7753677,7.049201271106155,6.284132062227225,58.411040425863895,0.0,0.0,0.0,7.049201271106155,7.049201271106155,0.0,-1.0,0.0,0.0,0.0,5.125682875933372,5.125682875933372,0.0,0.0,0.0,0.0,5.125682875933372,5.125682875933372,0.0,129.56471592984482,0.0,0.9960735798315884,4.779980484390933,4.779980484390933,4.779980484390933
